,SPX,V1_raw,V1_pctl_5y,V1_pctl_10y,V1_delta_4q,V1_delta_zscore
2010-06-30,1030.71,26.0976864111,0.0,0.0,-5.3583443385999985,-1.6764385684407892
2010-07-31,1101.6,26.0976864111,0.0,0.0,-5.3583443385999985,-1.6764385684407892
2010-08-31,1049.33,26.0976864111,0.0,0.0,-5.3583443385999985,-1.6764385684407892
2010-09-30,1141.2,25.4338238687,0.0,0.0,-4.6277980363,-1.3153452647876354
2010-10-31,1183.26,25.4338238687,0.0,0.0,-4.6277980363,-1.3153452647876354
2010-11-30,1180.55,25.4338238687,0.0,0.0,-4.6277980363,-1.3153452647876354
2010-12-31,1257.64,25.2177206885,0.0,0.0,-3.6336912233000014,-0.8875865221767243
2011-01-31,1286.12,25.2177206885,0.0,0.0,-3.6336912233000014,-0.8875865221767243
2011-02-28,1327.22,25.2177206885,0.0,0.0,-3.6336912233000014,-0.8875865221767243
2011-03-31,1325.83,23.7735895236,0.0,0.0,-3.248864374700002,-0.7022486483306477
2011-04-30,1363.61,23.7735895236,0.0,0.0,-3.248864374700002,-0.7022486483306477
2011-05-31,1345.2,23.7735895236,0.0,0.0,-3.248864374700002,-0.7022486483306477
2011-06-30,1320.64,24.225010626,5.0,2.5,-1.8726757851000002,-0.16412788464239422
2011-07-31,1292.28,24.225010626,5.0,2.5,-1.8726757851000002,-0.16412788464239422
2011-08-31,1218.89,24.225010626,5.0,2.5,-1.8726757851000002,-0.16412788464239422
2011-09-30,1131.42,24.7304199398,10.0,5.0,-0.7034039288999985,0.2631741848292311
2011-10-31,1253.3,24.7304199398,10.0,5.0,-0.7034039288999985,0.2631741848292311
2011-11-30,1246.96,24.7304199398,10.0,5.0,-0.7034039288999985,0.2631741848292311
2011-12-31,1257.6,25.5407467885,25.0,12.5,0.3230261000000034,0.6246140093988394
2012-01-31,1312.41,25.5407467885,25.0,12.5,0.3230261000000034,0.6246140093988394
2012-02-29,1365.68,25.5407467885,25.0,12.5,0.3230261000000034,0.6246140093988394
2012-03-31,1408.47,26.0867999176,30.0,15.0,2.313210394000002,1.3387916160493532
2012-04-30,1397.91,26.0867999176,30.0,15.0,2.313210394000002,1.3387916160493532
2012-05-31,1310.33,26.0867999176,30.0,15.0,2.313210394000002,1.3387916160493532
2012-06-30,1362.16,25.8910269951,30.0,15.0,1.6660163690999994,1.0351227137885421
2012-07-31,1379.32,25.8910269951,30.0,15.0,1.6660163690999994,1.0351227137885421
2012-08-31,1406.58,25.8910269951,30.0,15.0,1.6660163690999994,1.0351227137885421
2012-09-30,1440.67,26.0821273301,35.0,17.5,1.3517073902999996,0.865483438430531
2012-10-31,1412.16,26.0821273301,35.0,17.5,1.3517073902999996,0.865483438430531
2012-11-30,1416.18,26.0821273301,35.0,17.5,1.3517073902999996,0.865483438430531
2012-12-31,1426.19,26.2923840816,50.0,25.0,0.7516372930999999,0.5867301257380696
2013-01-31,1498.11,26.2923840816,50.0,25.0,0.7516372930999999,0.5867301257380696
2013-02-28,1514.68,26.2923840816,50.0,25.0,0.7516372930999999,0.5867301257380696
2013-03-31,1569.19,26.0425601864,35.0,17.5,-0.04423973120000113,0.23619972464648067
2013-04-30,1597.57,26.0425601864,35.0,17.5,-0.04423973120000113,0.23619972464648067
2013-05-31,1630.74,26.0425601864,35.0,17.5,-0.04423973120000113,0.23619972464648067
2013-06-30,1606.28,26.0173516364,35.0,17.5,0.12632464130000187,0.28187824454297344
2013-07-31,1685.73,26.0173516364,35.0,17.5,0.12632464130000187,0.28187824454297344
2013-08-31,1632.97,26.0173516364,35.0,17.5,0.12632464130000187,0.28187824454297344
2013-09-30,1681.55,26.4286636527,65.0,32.5,0.34653632259999867,0.3462634262951189
2013-10-31,1756.54,26.4286636527,65.0,32.5,0.34653632259999867,0.3462634262951189
2013-11-30,1805.81,26.4286636527,65.0,32.5,0.34653632259999867,0.3462634262951189
2013-12-31,1848.36,26.227214247,60.0,30.0,-0.06516983460000247,0.14657967477854836
