date,ig_oas_raw,us_10y,ig_spread_pctl_1y,ig_spread_pctl_5y,ig_spread_zscore_3m,ig_spread_zscore_1y,ig_spread_zscore_3y,ig_spread_delta_zscore_3m,ig_spread_delta_zscore_1y
2000-09-26,1.69,5.81,72.11155378486056,91.7933130699088,-0.3292506733399773,1.0304015786654437,1.7023884082515865,-0.804011037276682,0.5753867273214448
2000-09-27,1.67,5.83,62.15139442231076,89.27125506072875,-1.39921383693463,0.9383866406012245,1.6339678795489885,-0.9754588756823226,0.36548951533292984
2000-09-28,1.65,5.82,60.1593625498008,88.77654196157735,-2.3540349731320473,0.8469334719209678,1.5659850787577232,-1.0454263414443923,0.44295971145875934
2000-09-29,1.65,5.8,59.76095617529881,88.68686868686869,-2.221068438699889,0.8400511644327945,1.561565038245129,-1.031343438559213,0.6193586806170721
2000-09-30,1.66,,60.95617529880478,89.00100908173562,-1.640479301645624,0.8753235771679495,1.5888484846600328,-0.9756041590000961,0.43296832209707636
2000-10-02,1.66,5.83,60.55776892430279,88.91129032258065,-1.5775378208570228,0.8683434704870777,1.5843278153462417,-0.9625949044306227,0.2871847393901592
2000-10-03,1.66,5.87,60.1593625498008,88.82175226586104,-1.5190131493139916,0.8613170351511092,1.5798357183197362,-0.9496390018196275,0.5354651082157886
2000-10-04,1.67,5.9,61.75298804780876,89.2354124748491,-0.9961135711540241,0.8965656861224423,1.6069622989924799,-0.8947464862171259,0.38520653681605466
2000-10-05,1.68,5.87,64.14342629482071,89.84924623115577,-0.49021431794488135,0.9315944931211602,1.6339428864681322,-0.7926504992395864,0.5215353286834017
2000-10-06,1.68,5.82,63.745019920318725,89.7590361445783,-0.4747103737530942,0.9243260364995223,1.6291596336219554,-0.7822112733683122,0.6973212839253089
2000-10-09,1.69,,71.71314741035857,91.7753259779338,0.023395413544729283,0.9593016690943497,1.6559491492332012,-0.7295447515891402,0.5464018103115047
2000-10-10,1.71,5.8,83.66533864541833,94.78957915831663,0.9825439120164378,1.0365747884362846,1.7140936387034424,-0.5875419205484969,0.7135304710898824
2000-10-11,1.72,5.77,90.0398406374502,96.3963963963964,1.4177754437153427,1.0708253326752173,1.7403709037750743,-0.4899532883545088,0.6338605756830298
2000-10-12,1.74,5.73,96.41434262948208,98.0,2.2446464494177474,1.147339839336023,1.797926946690637,-0.35138665382945367,0.7646036235309861
2000-10-13,1.76,5.73,98.40637450199203,98.5014985014985,2.906643502075408,1.2232347950698064,1.8550560791267372,-0.2615824038755832,0.8231773865457319
2000-10-16,1.76,5.74,98.00796812749005,98.40319361277446,2.684837359753134,1.2133800353804465,1.8489740658761127,-0.3045621397835785,0.6755255891374574
2000-10-17,1.79,5.68,99.60159362549801,98.8035892323031,3.463420846424122,1.3305131458170476,1.9369058916164814,-0.1265542142285978,0.765337925838385
2000-10-18,1.81,5.66,99.60159362549801,98.80478087649402,3.6564438590103934,1.403886565437059,1.992761582596024,-0.0864444407174012,0.8230651118749366
2000-10-19,1.8,5.66,99.20318725099602,98.70646766169155,3.0214589463935164,1.3498664351565997,1.9543679269417351,-0.12671034877254939,0.7865340071971136
2000-10-20,1.81,5.64,99.20318725099602,98.70775347912524,3.0479281475314774,1.3806656745523382,1.9788108715192874,0.056295227479163046,0.777127335733143
2000-10-23,1.83,5.59,99.60159362549801,98.80834160873883,3.246368730956862,1.453254766494368,2.0341090084842004,0.04795604344914706,0.9057870016752907
2000-10-24,1.83,5.63,99.20318725099602,98.71031746031747,2.971323233244429,1.440906365198671,2.0264966646155624,0.09400597868163074,0.9012295222723608
2000-10-25,1.82,5.67,98.80478087649402,98.61248761149653,2.53652562852094,1.3868316988003189,1.987887371224946,-0.08586342283784143,0.8643280845060117
2000-10-26,1.83,5.69,98.80478087649402,98.61386138613861,2.5711758157258213,1.4170441356518044,2.0116865874451944,0.0034642256686052697,0.8198013022931943
2000-10-27,1.84,5.72,99.60159362549801,98.81305637982196,2.58816358951495,1.447073999183683,2.0352484468816834,0.0005808560590594425,0.9179747307643524
2000-10-30,1.87,5.74,99.60159362549801,98.81422924901186,2.9260875542378297,1.5599379458427491,2.120545819242533,0.12651920343119416,0.970624734435614
2000-10-31,1.89,5.77,99.60159362549801,98.81539980256665,3.005903812407899,1.6295704073239,2.173817162319456,0.20902698925072238,1.0983481746097272
2000-11-01,1.88,5.74,99.20318725099602,98.71794871794873,2.6203374682447125,1.5731427242531806,2.134064839708522,0.16529215104113026,0.990159021818019
2000-11-02,1.88,5.74,98.80478087649402,98.62068965517241,2.4485599006351615,1.5591390153138929,2.1254673423897694,0.2087307983668647,0.9846725587380192
2000-11-03,1.87,5.83,98.00796812749005,98.4251968503937,2.1627399723115808,1.5039927234399897,2.087027683078755,0.16525791462569606,0.9492711917964911
2000-11-06,1.86,5.87,97.60956175298804,98.32841691248771,1.912699588172444,1.449850592443692,2.0483279275397677,0.077905351527227,0.9492765801226739
2000-11-07,1.86,5.87,97.21115537848605,98.23182711198429,1.8264301390154227,1.437857931227088,2.040582094243927,0.07789332137284632,0.9444918081793647
2000-11-08,1.86,5.87,96.81274900398407,98.13542688910697,1.7487297000789896,1.426055579846776,2.0328369279979377,0.12236536795973119,0.9396982196967374
2000-11-09,1.86,5.82,96.41434262948208,98.0392156862745,1.677499167469041,1.4144386153169695,2.025704202157821,0.12163644191108025,0.9355014448171695
2000-11-10,1.87,5.82,97.60956175298804,98.33496571988248,1.7419634242106747,1.4444966133717876,2.0492748218795045,0.1624442878131338,0.9976143560631041
