date,lqd_shares,lqd_flow_yoy,lqd_flow_3m,lqd_flow_pctl_1y,lqd_flow_pctl_5y,lqd_flow_zscore_3m,lqd_flow_zscore_1y,lqd_flow_zscore_3y,lqd_flow_delta_zscore_3m,lqd_flow_delta_zscore_1y
2004-01-05,20900000.0,-22.941176470588243,-1.4563106796116498,,,0.8284197991883229,,,,
2004-01-06,20900000.0,-22.941176470588243,-1.4563106796116498,,,0.8041031144852706,,,,
2004-01-07,20900000.0,-22.941176470588243,-1.4563106796116498,,,0.780307070604065,,,,
2004-01-08,20900000.0,-22.941176470588243,-1.4563106796116498,,,0.7569901095063385,,,,
2004-01-09,21400000.0,-22.285714285714285,-3.8834951456310662,,,0.9431576863283264,,,,
2004-01-12,21400000.0,-22.285714285714285,-3.8834951456310662,,,0.9147106818037319,,,,
2004-01-13,21400000.0,-22.285714285714285,-3.8834951456310662,,,0.9054367627797922,,,,
2004-01-14,21400000.0,-22.285714285714285,-3.8834951456310662,,,0.8962814023698314,,,,
2004-01-15,21400000.0,-22.285714285714285,-3.8834951456310662,,,0.8872413603180448,,,,
2004-01-16,21400000.0,-22.285714285714285,-3.8834951456310662,,,0.8783135147651284,,,,
2004-01-20,21400000.0,-22.285714285714285,-3.8834951456310662,39.44223107569721,,0.8694948566495317,0.22914086416435162,,,
2004-01-21,21400000.0,-22.285714285714285,-3.8834951456310662,39.44223107569721,,0.8607824844287275,0.22819659634620643,,,
2004-01-22,21400000.0,-22.285714285714285,-3.8834951456310662,39.44223107569721,,0.852173599099045,0.227263911790886,,,
2004-01-23,21400000.0,-22.285714285714285,-3.8834951456310662,39.44223107569721,,0.8436654994942848,0.2263425755059371,,,
2004-01-26,21400000.0,-22.285714285714285,-3.8834951456310662,39.44223107569721,,0.8352555778447872,0.22543235912199247,,,
2004-01-27,21400000.0,-22.285714285714285,0.92592592592593,39.44223107569721,,0.8085348456279778,0.22453304065460256,,,
2004-01-28,21400000.0,-22.285714285714285,0.92592592592593,39.44223107569721,,0.7823613025674078,0.2236444042764558,,,
2004-01-29,21400000.0,-22.285714285714285,0.92592592592593,39.44223107569721,,0.7566819667215255,0.22276624009945506,,,
2004-01-30,21400000.0,-22.285714285714285,0.92592592592593,39.44223107569721,,0.7314472009607508,0.22189834396615224,,,
2004-02-02,21300000.0,-18.333333333333336,1.388888888888884,53.38645418326693,,1.964085633686677,0.22283507812447625,,,
2004-02-03,21300000.0,-18.99441340782122,1.388888888888884,53.38645418326693,,1.6911009652027453,0.22167834853054258,,,
